Forecast_ID,Fiscal_Year,VISN,Facility_Name,Contracting_Office,Category,NAICS_Code,NAICS_Description,PSC_Code,Requirement_Title,Estimated_Value_Low,Estimated_Value_High,Estimated_Value_Midpoint,Planned_Solicitation_Quarter,Planned_Award_Quarter,Contract_Type,Anticipated_Set_Aside,Small_Business_Eligible,Recompete,Incumbent_Contractor,Priority_Level,Status,Point_of_Contact_Email,Record_Created_Date,Estimated_Value,Estimated_Value_log,Set_Aside_Type,Competition_Type,Vendor_Size,Number_of_Offers_Received,Requirement_Complexity_Score,Contracting_Office_Open_Actions,Days_Since_Requirement_Posted,Category_Historical_Protest_Rate,Category_Historical_OnTime_Rate,Competition_Historical_Protest_Rate,Competition_Historical_OnTime_Rate,Composite_Risk_Score
FCST-000001,2027,2,VISN 2 Medical Center Main,Network Contracting Office (NCO) 1,Medical Equipment,423450,Medical Equipment Merchant Wholesalers,6520,Medical Equipment Requirement - VISN 2 Medical Center Main FY2027,51804.26,62477.74,56850.75,FY Q2,FY Q1,Firm Fixed Price,Full and Open (No Set-Aside),No,No,,Low,Planning,linda.brown@va.gov,2026-03-09,56850.75,10.948202281466557,Full and Open (No Set-Aside),Full and Open,Other Than Small Business,4.0,5.0,44.0,0,0.035164835164835165,0.7714285714285715,0.07963446475195822,0.3368146214099217,20.3
FCST-000002,2027,16,VISN 16 Medical Center South,Network Contracting Office (NCO) 1,Transportation,492110,Couriers and Express Delivery Services,V119,Transportation Requirement - VISN 16 Medical Center South FY2027,156501.99,211198.36,177001.06,FY Q4,FY Q2,Firm Fixed Price,Full and Open (No Set-Aside),No,Yes,Pinnacle Solutions,Low,Planning,linda.taylor@va.gov,2026-04-21,177001.06,12.08391664990632,Full and Open (No Set-Aside),Full and Open,Other Than Small Business,4.0,5.0,44.0,0,0.02631578947368421,0.7719298245614035,0.07963446475195822,0.3368146214099217,27.6
FCST-000003,2027,16,VISN 16 Medical Center Main,Network Contracting Office (NCO) 3,Medical Equipment,339112,Surgical and Medical Instrument Mfg,6515,Medical Equipment Requirement - VISN 16 Medical Center Main FY2027,1058254.01,1385250.98,1234851.2,FY Q3,FY Q3,Time and Materials,WOSB,Yes,No,,Critical,Planning,elizabeth.wilson@va.gov,2026-02-08,1234851.2,14.026461844769097,WOSB,Set-Aside,Small Business,4.0,5.0,44.0,0,0.035164835164835165,0.7714285714285715,0.03696013289036545,0.8450996677740864,29.4
FCST-000004,2027,17,VISN 17 Medical Center South,Strategic Acquisition Center (SAC) - Frederick,IT Services,541519,Other Computer Related Services,D302,IT Services Requirement - VISN 17 Medical Center South FY2027,190627.81,244691.64,229992.58,FY Q2,FY Q3,Firm Fixed Price,Full and Open (No Set-Aside),No,No,,High,Planning,elizabeth.garcia@va.gov,2026-06-05,229992.58,12.345806674472279,Full and Open (No Set-Aside),Full and Open,Other Than Small Business,4.0,5.0,44.0,0,0.06483300589390963,0.68762278978389,0.07963446475195822,0.3368146214099217,32.0
FCST-000005,2027,16,VISN 16 Medical Center North,Network Contracting Office (NCO) 12,Construction,237990,Other Heavy and Civil Engineering Construction,Y1AA,Construction Requirement - VISN 16 Medical Center North FY2027,4235043.22,5620377.03,5093710.01,FY Q1,FY Q2,Firm Fixed Price,SDVOSB,Yes,Yes,Cornerstone Federal Services,Critical,Draft Solicitation,susan.thomas@va.gov,2026-07-02,5093710.01,15.443517201463486,SDVOSB,Set-Aside,Small Business,4.0,5.0,44.0,0,0.06666666666666667,0.6166666666666667,0.03696013289036545,0.8450996677740864,46.4
FCST-000006,2026,14,VISN 14 Medical Center Main,Network Contracting Office (NCO) 2,Food Service,311423,Dried and Dehydrated Food Mfg,8940,Food Service Requirement - VISN 14 Medical Center Main FY2026,313584.01,384925.7,340572.0,FY Q1,FY Q2,Blanket Purchase Agreement (BPA),Full and Open (No Set-Aside),Yes,No,,Low,Planning,william.davis@va.gov,2026-06-10,340572.0,12.73838477219538,Full and Open (No Set-Aside),Full and Open,Small Business,4.0,5.0,44.0,0,0.020833333333333332,0.765625,0.07963446475195822,0.3368146214099217,27.9
FCST-000007,2027,9,VISN 9 Medical Center South,Network Contracting Office (NCO) 5,Medical/Clinical Services,621111,Offices of Physicians,Q401,Medical/Clinical Services Requirement - VISN 9 Medical Center South FY2027,195113.2,270939.69,233111.79,FY Q3,FY Q4,Firm Fixed Price,SDVOSB,Yes,No,,Critical,Planning,james.thomas@va.gov,2026-06-18,233111.79,12.35927769267346,SDVOSB,Set-Aside,Small Business,4.0,5.0,44.0,0,0.039509536784741145,0.7615803814713896,0.03696013289036545,0.8450996677740864,19.1
FCST-000008,2027,13,VISN 13 Medical Center Main,Technology Acquisition Center (TAC),Medical Equipment,423450,Medical Equipment Merchant Wholesalers,6520,Medical Equipment Requirement - VISN 13 Medical Center Main FY2027,1019276.98,1467190.0,1236990.68,FY Q1,FY Q4,Firm Fixed Price,Small Business,Yes,Yes,Keystone Enterprises,Critical,Draft Solicitation,thomas.rodriguez@va.gov,2026-05-09,1236990.68,14.028192925402127,Small Business,Set-Aside,Small Business,4.0,5.0,44.0,0,0.035164835164835165,0.7714285714285715,0.03696013289036545,0.8450996677740864,31.9
FCST-000009,2027,9,VISN 9 Medical Center South,Network Contracting Office (NCO) 4,IT Services,541512,Computer Systems Design Services,D302,IT Services Requirement - VISN 9 Medical Center South FY2027,1064872.85,1364651.58,1261660.29,FY Q1,FY Q3,Time and Materials,Full and Open (No Set-Aside),No,No,,Medium,Market Research,elizabeth.wilson@va.gov,2026-03-09,1261660.29,14.047939894617711,Full and Open (No Set-Aside),Full and Open,Other Than Small Business,4.0,5.0,44.0,0,0.06483300589390963,0.68762278978389,0.07963446475195822,0.3368146214099217,47.6
FCST-000010,2026,5,VISN 5 Medical Center South,Network Contracting Office (NCO) 7,Facilities Management,561720,Janitorial Services,S214,Facilities Management Requirement - VISN 5 Medical Center South FY2026,126898.0,185429.97,154203.44,FY Q1,FY Q3,Firm Fixed Price,Full and Open (No Set-Aside),No,Yes,Sterling Industries,High,Planning,thomas.martinez@va.gov,2026-06-26,154203.44,11.946034533471153,Full and Open (No Set-Aside),Full and Open,Other Than Small Business,4.0,5.0,44.0,0,0.040229885057471264,0.7385057471264368,0.07963446475195822,0.3368146214099217,29.0
FCST-000011,2027,8,VISN 8 Medical Center Main,Denver Acquisition and Logistics Center (DALC),Medical Equipment,423450,Medical Equipment Merchant Wholesalers,6525,Medical Equipment Requirement - VISN 8 Medical Center Main FY2027,436646.6,532161.73,500226.05,FY Q2,FY Q2,Time and Materials,Full and Open (No Set-Aside),No,No,,Low,Planning,linda.moore@va.gov,2026-02-28,500226.05,13.122817374332126,Full and Open (No Set-Aside),Full and Open,Other Than Small Business,4.0,5.0,44.0,0,0.035164835164835165,0.7714285714285715,0.07963446475195822,0.3368146214099217,39.9
FCST-000012,2027,6,VISN 6 Medical Center South,SAO East,Medical/Clinical Services,622110,General Medical and Surgical Hospitals,Q201,Medical/Clinical Services Requirement - VISN 6 Medical Center South FY2027,546262.59,731933.9,658010.82,FY Q3,FY Q4,Time and Materials,SDVOSB,Yes,No,,Low,Market Research,patricia.brown@va.gov,2026-07-15,658010.82,13.396978173671949,SDVOSB,Set-Aside,Small Business,4.0,5.0,44.0,0,0.039509536784741145,0.7615803814713896,0.03696013289036545,0.8450996677740864,26.5
FCST-000013,2027,9,VISN 9 Medical Center Main,SAO East,Facilities Management,561720,Janitorial Services,S214,Facilities Management Requirement - VISN 9 Medical Center Main FY2027,203839.88,249663.56,227839.22,FY Q1,FY Q3,Time and Materials,SDVOSB,Yes,Yes,Cornerstone Consulting,Low,On Hold,karen.brown@va.gov,2026-03-17,227839.22,12.33639987279517,SDVOSB,Set-Aside,Small Business,4.0,5.0,44.0,0,0.040229885057471264,0.7385057471264368,0.03696013289036545,0.8450996677740864,19.9
FCST-000014,2027,9,VISN 9 Medical Center East,Network Contracting Office (NCO) 7,Medical/Clinical Services,621399,Offices of Health Practitioners,Q401,Medical/Clinical Services Requirement - VISN 9 Medical Center East FY2027,52955.47,76868.73,65043.96,FY Q3,FY Q4,IDIQ,Small Business,Yes,Yes,Summit LLC,Low,Draft Solicitation,maria.brown@va.gov,2026-05-28,65043.96,11.082834002076595,Small Business,Set-Aside,Small Business,4.0,5.0,44.0,0,0.039509536784741145,0.7615803814713896,0.03696013289036545,0.8450996677740864,12.8
FCST-000015,2027,2,VISN 2 Medical Center Main,Network Contracting Office (NCO) 18,Construction,237990,Other Heavy and Civil Engineering Construction,Z1AA,Construction Requirement - VISN 2 Medical Center Main FY2027,2876093.11,3761791.67,3316176.1,FY Q3,FY Q4,Cost Plus Fixed Fee,Full and Open (No Set-Aside),No,Yes,Vanguard Systems,High,Market Research,john.thomas@va.gov,2026-07-13,3316176.1,15.014323201531326,Full and Open (No Set-Aside),Full and Open,Other Than Small Business,4.0,5.0,44.0,0,0.06666666666666667,0.6166666666666667,0.07963446475195822,0.3368146214099217,48.4
FCST-000016,2026,10,VISN 10 Medical Center Main,National Acquisition Center (NAC),Medical/Clinical Services,621399,Offices of Health Practitioners,Q301,Medical/Clinical Services Requirement - VISN 10 Medical Center Main FY2026,268045.13,313126.07,289058.42,FY Q4,FY Q4,IDIQ,SDVOSB,Yes,Yes,Atlas Solutions,Medium,On Hold,david.miller@va.gov,2026-01-19,289058.42,12.57438755149698,SDVOSB,Set-Aside,Small Business,4.0,5.0,44.0,0,0.039509536784741145,0.7615803814713896,0.03696013289036545,0.8450996677740864,21.0
