Record_ID,Fiscal_Year,VISN,Category,NAICS_Code,PSC_Code,Contract_Type,Set_Aside_Type,Competition_Type,Vendor_Size,Socioeconomic_Category,Estimated_Value,Number_of_Offers_Received,Incumbent_Present,Requirement_Complexity_Score,Contracting_Office_Open_Actions,Days_Since_Requirement_Posted,Prior_Year_Spend_Same_Requirement,Award_Amount,Days_to_Award,Small_Business_Award,Protest_Filed,On_Time_Award
MODEL-000001,2023,13,Pharmaceuticals,325412,6508,Firm Fixed Price,SDVOSB,Set-Aside,Small Business,SDVOSB,1557863.32,8,Yes,8,55,50,1896265.46,1473881.57,104,1,0,1
MODEL-000002,2022,10,Medical/Clinical Services,621399,Q401,Firm Fixed Price,Full and Open (No Set-Aside),Full and Open,Other Than Small Business,N/A,141129.18,6,Yes,4,55,17,142290.38,151540.22,85,0,0,1
MODEL-000003,2022,11,Pharmaceuticals,325412,6505,Firm Fixed Price,Small Business,Set-Aside,Small Business,N/A,1254181.98,8,Yes,7,49,79,1511181.1,1338901.37,85,1,0,1
MODEL-000004,2025,7,Medical Equipment,339112,6515,Blanket Purchase Agreement (BPA),Full and Open (No Set-Aside),Full and Open,Other Than Small Business,N/A,348401.28,5,Yes,3,52,66,374597.64,398849.15,51,0,0,1
MODEL-000005,2023,3,Professional Services,541611,R408,Firm Fixed Price,SDVOSB,Set-Aside,Small Business,SDVOSB,348519.61,3,Yes,7,17,86,295816.05,368148.22,82,1,0,1
MODEL-000006,2025,18,Facilities Management,561720,S201,Firm Fixed Price,Full and Open (No Set-Aside),Full and Open,Other Than Small Business,N/A,878010.02,2,No,2,56,33,0.0,821629.66,91,0,0,0
MODEL-000007,2022,7,Professional Services,541611,R425,Time and Materials,HUBZone,Set-Aside,Small Business,HUBZone,1093752.26,4,Yes,4,72,66,918704.75,1111077.4,66,1,0,1
MODEL-000008,2025,13,Medical/Clinical Services,622110,Q401,IDIQ,SDVOSB,Set-Aside,Small Business,SDVOSB,98791.96,4,No,3,9,8,0.0,78148.75,86,1,1,0
MODEL-000009,2024,18,Pharmaceuticals,446110,6505,IDIQ,WOSB,Set-Aside,Other Than Small Business,WOSB,1775601.21,7,No,9,18,71,0.0,1933789.37,110,1,0,1
MODEL-000010,2024,14,Facilities Management,561210,S214,Firm Fixed Price,Small Business,Set-Aside,Small Business,N/A,119652.13,5,No,4,29,93,0.0,141617.48,97,1,0,0
MODEL-000011,2026,17,Construction,236220,Y1AA,Time and Materials,Small Business,Set-Aside,Small Business,N/A,371227.68,2,Yes,2,25,31,299827.28,325562.5,55,1,0,1
MODEL-000012,2022,1,Medical/Clinical Services,621399,Q301,Time and Materials,SDVOSB,Set-Aside,Small Business,SDVOSB,530151.77,1,Yes,3,40,82,373249.93,508322.48,56,1,0,1
