Award_ID,Contract_Number,Award_Date,Fiscal_Year,VISN,Facility_Name,Contracting_Office,Vendor_Name,Vendor_UEI,Vendor_Size,Socioeconomic_Category,Category,NAICS_Code,NAICS_Description,PSC_Code,Contract_Type,Competition_Type,Set_Aside_Type,Number_of_Offers_Received,Award_Amount,Period_of_Performance_Start,Period_of_Performance_End,Period_of_Performance_Months
AWD-000001,36C102577O713,2024-01-14,2024,10,VISN 10 Medical Center Main,Network Contracting Office (NCO) 10,Legacy Associates,B5Z53MDGH2KG,Small Business,SDVOSB,Medical/Clinical Services,621399,Offices of Health Practitioners,Q301,Firm Fixed Price,Set-Aside,SDVOSB,3,128816.99,2024-02-08,2027-02-06,36
AWD-000002,36C013979M165,2025-08-10,2025,1,VISN 1 Medical Center North,Network Contracting Office (NCO) 5,Summit Associates,DMDLUTEGDG7X,Other Than Small Business,N/A,Construction,237990,Other Heavy and Civil Engineering Construction,Y1AA,Firm Fixed Price,Sole Source,Full and Open (No Set-Aside),1,1527737.89,2025-08-28,2027-08-27,24
AWD-000003,36C077030X290,2022-02-13,2022,7,VISN 7 Medical Center North,Network Contracting Office (NCO) 6,Anchor Group,HV9Z5C84FYJF,Small Business,N/A,Medical Equipment,339112,Surgical and Medical Instrument Mfg,6520,Blanket Purchase Agreement (BPA),Full and Open,Full and Open (No Set-Aside),3,1128884.42,2022-02-21,2026-02-19,48
AWD-000004,36C091622E102,2019-01-27,2019,9,VISN 9 Medical Center North,Strategic Acquisition Center (SAC) - Frederick,Sterling Group,JBXH9S7X2FCF,Small Business,N/A,Food Service,722320,Caterers,F002,Cost Plus Fixed Fee,Sole Source,Full and Open (No Set-Aside),1,135092.11,2019-02-10,2021-02-08,24
AWD-000005,36C176363M455,2020-10-15,2021,17,VISN 17 Medical Center East,Network Contracting Office (NCO) 7,Summit Federal Services,MNDQVQYNP22Q,Small Business,N/A,Medical/Clinical Services,621399,Offices of Health Practitioners,Q301,Firm Fixed Price,Set-Aside,Small Business,2,666493.19,2020-11-13,2022-11-12,24
AWD-000006,36C069251Q214,2023-09-28,2023,6,VISN 6 Medical Center South,Network Contracting Office (NCO) 2,Vertex Industries,SQJ63KRAGQH4,Small Business,N/A,Facilities Management,561210,Facilities Support Services,S214,Firm Fixed Price,Full and Open,Full and Open (No Set-Aside),7,1627435.56,2023-10-26,2026-10-24,36
AWD-000007,36C159862S255,2022-10-25,2023,15,VISN 15 Medical Center North,Network Contracting Office (NCO) 4,Cornerstone Technologies,RCFT8TE8XKWQ,Other Than Small Business,N/A,Construction,237990,Other Heavy and Civil Engineering Construction,Z1AA,Firm Fixed Price,Full and Open,Full and Open (No Set-Aside),3,152561.08,2022-10-29,2023-10-28,12
AWD-000008,36C178879O415,2022-02-12,2022,17,VISN 17 Medical Center North,Network Contracting Office (NCO) 16,Unity Systems,55EPKBGFQNND,Small Business,N/A,Medical/Clinical Services,621399,Offices of Health Practitioners,Q201,Firm Fixed Price,Limited Competition,Full and Open (No Set-Aside),4,378062.56,2022-03-07,2024-03-05,24
AWD-000009,36C033283D923,2020-09-28,2020,3,VISN 3 Medical Center East,Network Contracting Office (NCO) 15,Beacon Industries,XZG26WVPR7MZ,Small Business,SDVOSB,Medical Equipment,339112,Surgical and Medical Instrument Mfg,6525,Firm Fixed Price,Set-Aside,SDVOSB,3,618555.16,2020-10-13,2023-10-12,36
AWD-000010,36C063973J233,2021-05-31,2021,6,VISN 6 Medical Center North,Network Contracting Office (NCO) 8,Horizon Technologies,JMNS92MSGZJG,Small Business,N/A,Medical/Clinical Services,622110,General Medical and Surgical Hospitals,Q301,IDIQ,Sole Source,Full and Open (No Set-Aside),1,91059.7,2021-06-30,2023-06-29,24
AWD-000011,36C111840M689,2022-10-10,2023,11,VISN 11 Medical Center North,Network Contracting Office (NCO) 17,Keystone LLC,78GA98EUGP6F,Small Business,SDVOSB,Medical Equipment,339112,Surgical and Medical Instrument Mfg,6525,Cost Plus Fixed Fee,Set-Aside,SDVOSB,2,580055.0,2022-10-22,2025-10-20,36
AWD-000012,36C101703C669,2020-02-23,2020,10,VISN 10 Medical Center North,Network Contracting Office (NCO) 16,Beacon Federal Services,BYPWH47DAFQG,Small Business,N/A,Medical Equipment,339112,Surgical and Medical Instrument Mfg,6520,Blanket Purchase Agreement (BPA),Full and Open,Full and Open (No Set-Aside),1,163615.97,2020-03-23,2021-03-22,12
AWD-000013,36C131432C730,2020-01-15,2020,13,VISN 13 Medical Center South,Network Contracting Office (NCO) 7,Precision LLC,QST3MLW944X7,Other Than Small Business,N/A,Medical/Clinical Services,621399,Offices of Health Practitioners,Q401,Firm Fixed Price,Full and Open,Full and Open (No Set-Aside),1,1634971.07,2020-01-24,2021-01-22,12
AWD-000014,36C118215B692,2023-04-06,2023,11,VISN 11 Medical Center Main,Network Contracting Office (NCO) 15,Patriot Group,E6E7GHBS3Q9A,Other Than Small Business,N/A,IT Services,541512,Computer Systems Design Services,D316,Firm Fixed Price,Set-Aside,Full and Open (No Set-Aside),1,1194346.47,2023-04-10,2026-04-08,36
AWD-000015,36C082869N138,2020-02-01,2020,8,VISN 8 Medical Center North,Network Contracting Office (NCO) 4,Vanguard Technologies,G5BYWZU5B6FB,Small Business,SDVOSB,Medical Equipment,339112,Surgical and Medical Instrument Mfg,6515,Time and Materials,Set-Aside,SDVOSB,7,202876.66,2020-02-21,2022-02-19,24
AWD-000016,36C088382J133,2023-01-10,2023,8,VISN 8 Medical Center Main,Network Contracting Office (NCO) 1,Sterling LLC,3VTWFYCPH4XZ,Small Business,SDVOSB,Medical/Clinical Services,621399,Offices of Health Practitioners,Q201,Time and Materials,Set-Aside,SDVOSB,8,94088.37,2023-01-21,2024-01-20,12
AWD-000017,36C078093P277,2022-11-09,2023,7,VISN 7 Medical Center North,Network Contracting Office (NCO) 4,Cornerstone LLC,TS94GWWUG68S,Small Business,WOSB,IT Services,541519,Other Computer Related Services,D316,IDIQ,Set-Aside,WOSB,2,645879.4,2022-11-22,2023-11-21,12
AWD-000018,36C156731T766,2025-10-08,2026,15,VISN 15 Medical Center North,National Acquisition Center (NAC),Beacon Federal Services,64ATRWVAMDVJ,Small Business,N/A,Facilities Management,561210,Facilities Support Services,S201,Blanket Purchase Agreement (BPA),Set-Aside,Full and Open (No Set-Aside),5,165052.91,2025-10-14,2026-10-13,12
AWD-000019,36C032498I369,2021-12-19,2022,3,VISN 3 Medical Center Main,Network Contracting Office (NCO) 15,Patriot Associates,6CLF2VJZEZ6Z,Small Business,N/A,Medical Equipment,339112,Surgical and Medical Instrument Mfg,6525,IDIQ,Limited Competition,Full and Open (No Set-Aside),2,563221.5,2022-01-09,2023-01-08,12
AWD-000020,36C115451B504,2019-06-27,2019,11,VISN 11 Medical Center North,Strategic Acquisition Center (SAC) - Frederick,Horizon LLC,7YWBKRMXF6A2,Small Business,N/A,Facilities Management,561720,Janitorial Services,S214,Firm Fixed Price,Full and Open,Full and Open (No Set-Aside),2,3009268.7,2019-07-08,2021-07-06,24
